date,id,ref
2025-05-27,2332,16.3
2025-05-27,2426,16.9
2025-05-27,3715,43.4
2025-05-27,5234,203
2025-05-27,6151,29.9
2025-05-27,6525,67.6
2025-05-27,6570,41.05
2025-05-27,8074,20.45
2025-05-27,8435,69.5
2025-05-28,1215,108.5
2025-05-28,1568,24.3
2025-05-28,1708,34.7
2025-05-28,2467,152.5
2025-05-28,2612,45.35
2025-05-28,4527,45.95
2025-05-28,4995,55.8
2025-05-28,5403,122.5
2025-05-29,6568,104.46
2025-06-02,1598,22.2
2025-06-02,3543,20
2025-06-02,3596,206.5
2025-06-02,6788,215
2025-06-03,1702,43.85
2025-06-03,2313,58.1
2025-06-03,3231,111.2
2025-06-03,3443,1079
2025-06-03,6712,158.64
2025-06-03,7713,57.73
2025-06-03,8487,76.7
2025-06-03,8924,63.1
2025-06-04,1605,20.36
2025-06-04,2642,26.05
2025-06-04,5309,33.25
2025-06-04,6716,54.62
2025-06-05,1323,20.3
2025-06-05,5878,42.45
2025-06-05,6146,177.9
2025-06-05,6861,51.2
2025-06-06,1587,31.25
2025-06-06,5609,78.1
2025-06-09,3441,32.2
2025-06-09,6023,80
2025-06-09,6951,69.2
2025-06-09,7704,55.64
2025-06-10,1416,12.19
2025-06-10,2636,73
2025-06-10,2762,78.61
2025-06-10,3211,181
2025-06-10,4722,67.8
2025-06-10,4735,36.85
2025-06-10,4939,19.1
2025-06-10,6263,146.1
2025-06-10,6412,116.5
2025-06-10,6597,70.77
2025-06-10,6741,78.46
2025-06-10,6785,147.75
2025-06-10,6881,225
2025-06-10,6894,165.7
2025-06-10,8422,181.05
2025-06-10,9940,26.2
2025-06-11,1219,14.7
2025-06-11,1232,156.5
2025-06-11,1473,27.85
2025-06-11,1733,29.75
2025-06-11,2020,25.85
2025-06-11,2597,175.8
2025-06-11,3015,59.1
2025-06-11,5523,29.95
2025-06-11,6516,79.99
2025-06-11,8463,24.4
2025-06-11,9924,46.35
2025-06-12,1515,28.85
2025-06-12,1584,25.1
2025-06-12,1760,76.4
2025-06-12,2105,44.7
2025-06-12,2330,1060.49
2025-06-12,3118,32.2
2025-06-12,3679,134.5
2025-06-12,4951,65.6
2025-06-12,4958,102.2
2025-06-12,6208,45
2025-06-12,6423,88.01
2025-06-12,6491,321.5
2025-06-12,6532,59.9
2025-06-12,6965,95.5
2025-06-12,6982,52.2
2025-06-12,8438,30.35
2025-06-12,8454,286.2
2025-06-13,1773,123.75
2025-06-13,1776,17.05
2025-06-13,2327,467
2025-06-13,2607,32
2025-06-13,2608,34.85
2025-06-13,2637,60.5
2025-06-13,3030,127
2025-06-13,3105,87
2025-06-13,3556,37.72
2025-06-13,4153,41.5
2025-06-13,4538,17.55
2025-06-13,4760,101.3
2025-06-13,4994,93.2
2025-06-13,5274,4493
2025-06-13,6026,11.6
2025-06-13,6271,105.5
2025-06-13,6418,17.85
2025-06-13,6739,269
2025-06-13,6804,23.8
2025-06-13,6834,31.75
2025-06-13,6952,47.7
2025-06-13,8424,71.8
2025-06-13,8467,178.44
2025-06-16,1582,71.5
2025-06-16,2107,24.8
2025-06-16,2421,100.28
2025-06-16,2832,31.85
2025-06-16,2908,20
2025-06-16,3042,92.8
2025-06-16,3324,695
2025-06-16,3563,571
2025-06-16,4133,28.35
2025-06-16,4550,26.1
2025-06-16,4557,104
2025-06-16,4935,39.7
2025-06-16,6123,50.95
2025-06-16,6242,41.1
2025-06-16,6538,101
2025-06-16,6680,77.95
2025-06-16,8016,199.5
2025-06-16,8432,48.58
2025-06-16,9910,116.4
2025-06-17,1423,37.5
2025-06-17,1593,27.95
2025-06-17,2106,22.85
2025-06-17,2115,27.7
2025-06-17,2302,15.87
2025-06-17,2308,393.5
2025-06-17,2385,143
2025-06-17,2545,46
2025-06-17,2816,24.9
2025-06-17,2926,45.8
2025-06-17,3035,176.5
2025-06-17,3680,354.4
2025-06-17,4938,78.49
2025-06-17,4945,77.2
2025-06-17,4974,86.35
2025-06-17,5519,31.25
2025-06-17,5902,45.1
2025-06-17,6005,20.6
2025-06-17,6147,57.25
2025-06-17,6154,14.55
2025-06-17,6561,422
2025-06-17,6640,579
2025-06-17,8011,20.6
2025-06-17,8416,162
2025-06-18,2459,60.9
2025-06-18,2480,149.07
2025-06-18,2606,55.1
2025-06-18,3168,47.06
2025-06-18,5340,42.8
2025-06-18,6024,47.47
2025-06-18,6530,51.05
2025-06-18,6531,303.5
2025-06-18,6762,234.52
2025-06-18,8028,145.8
2025-06-18,8162,37.8
2025-06-19,1504,50.4
2025-06-19,1711,16.4
2025-06-19,1735,16.2
2025-06-19,1904,17.05
2025-06-19,2031,39.25
2025-06-19,2353,33.5
2025-06-19,2423,42.2
2025-06-19,2450,29.55
2025-06-19,2506,10
2025-06-19,2603,214
2025-06-19,3094,25.73
2025-06-19,3150,22.15
2025-06-19,3311,35.28
2025-06-19,3597,24.75
2025-06-19,4766,319
2025-06-19,4915,74.79
2025-06-19,5443,83.7
2025-06-19,6204,63.4
2025-06-19,6266,30.74
2025-06-19,6438,166.16
2025-06-19,6494,37.24
2025-06-19,6498,124.36
2025-06-19,6548,31.79
2025-06-19,6625,87.7
2025-06-19,8070,40.35
2025-06-19,8996,263.47
2025-06-20,1319,103.7
2025-06-20,2069,14.85
2025-06-20,2360,353
2025-06-20,2388,62.6
2025-06-20,2455,117.78
2025-06-20,2643,70.9
2025-06-20,3413,288.07
2025-06-20,5601,37.7
2025-06-20,6167,13.7
2025-06-20,6176,139.39
2025-06-20,6472,782
2025-06-20,6792,53
2025-06-20,6903,109
2025-06-20,7703,134.5
2025-06-20,8111,51.5
2025-06-20,8163,35.2
2025-06-23,1259,54
2025-06-23,1707,123.8
2025-06-23,1788,136.5
2025-06-23,2347,67.1
2025-06-23,2371,41.73
2025-06-23,2723,82.1
2025-06-23,2753,171.49
2025-06-23,3010,93.3
2025-06-23,3026,78.2
2025-06-23,3388,60.9
2025-06-23,3450,214
2025-06-23,5213,29.53
2025-06-23,6449,102.51
2025-06-23,6679,196.33
2025-06-23,6768,99.82
2025-06-23,7715,40.06
2025-06-23,8049,27
2025-06-23,9931,34.2
2025-06-23,9934,9.6
2025-06-24,2114,87.3
2025-06-24,2303,44.14
2025-06-24,2362,43.47
2025-06-24,2368,263.5
2025-06-24,2387,46.4
2025-06-24,2504,41.05
2025-06-24,2615,93.8
2025-06-24,2903,20.9
2025-06-24,3019,131
2025-06-24,3138,81.04
2025-06-24,3163,175
2025-06-24,3169,79.6
2025-06-24,3264,72.1
2025-06-24,3374,136.5
2025-06-24,3447,44.5
2025-06-24,3705,59
2025-06-24,3709,34.95
2025-06-24,4535,29.05
2025-06-24,4545,30.85
2025-06-24,4571,163.32
2025-06-24,6184,50.6
2025-06-24,6214,103.8
2025-06-24,6558,44.7
2025-06-24,6577,82.6
2025-06-24,6669,2476
2025-06-24,6693,56.6
2025-06-24,9917,113.3
2025-06-25,1104,27.95
2025-06-25,2397,62.6
2025-06-25,3349,15.11
2025-06-25,3455,89
2025-06-25,3714,35.5
2025-06-25,4175,61.9
2025-06-25,4739,44.2
2025-06-25,4952,39.75
2025-06-25,6125,67.2
2025-06-25,6205,45.27
2025-06-25,6425,44.6
2025-06-25,6505,35.95
2025-06-25,6546,85.7
2025-06-25,8112,47.84
2025-06-25,8227,148.4
2025-06-25,8341,72.5
2025-06-25,9944,16.55
2025-06-26,1213,12.65
2025-06-26,1218,20.3
2025-06-26,1313,7.63
2025-06-26,1525,60.9
2025-06-26,2329,40.95
2025-06-26,2357,666
